Package                                   Version               Build                         Size       Kind   Source
nlohmann_json                             3.12.0                ha1acc90_0                    133.3 KiB  conda  https://conda.anaconda.org/conda-forge/
nomkl                                     1.0                   h5ca1d4c_0                    3.8 KiB    conda  https://conda.anaconda.org/conda-forge/
numpy                                     2.3.1                 py313h41a2e72_0               6.3 MiB    conda  https://conda.anaconda.org/conda-forge/
openjpeg                                  2.5.3                 h8a3d83b_0                    311.9 KiB  conda  https://conda.anaconda.org/conda-forge/
openssl                                   3.5.1                 h81ee809_0                    2.9 MiB    conda  https://conda.anaconda.org/conda-forge/
opentelemetry-api                         1.30.0                pyhd8ed1ab_0                  43.6 KiB   conda  https://conda.anaconda.org/conda-forge/
opentelemetry-exporter-otlp-proto-common  1.30.0                pyhd8ed1ab_0                  18.7 KiB   conda  https://conda.anaconda.org/conda-forge/
opentelemetry-exporter-otlp-proto-http    1.30.0                pyhd8ed1ab_0                  16.7 KiB   conda  https://conda.anaconda.org/conda-forge/
opentelemetry-exporter-prometheus         0.51b0                pyh29332c3_0                  22.1 KiB   conda  https://conda.anaconda.org/conda-forge/
opentelemetry-proto                       1.30.0                pyhd8ed1ab_0                  36.5 KiB   conda  https://conda.anaconda.org/conda-forge/
opentelemetry-sdk                         1.30.0                pyhd8ed1ab_0                  76 KiB     conda  https://conda.anaconda.org/conda-forge/
opentelemetry-semantic-conventions        0.51b0                pyh3cfb1c2_0                  89.7 KiB   conda  https://conda.anaconda.org/conda-forge/
optree                                    0.16.0                py313h0ebd0e5_0               382 KiB    conda  https://conda.anaconda.org/conda-forge/
orc                                       2.1.2                 hd90e43c_0                    465.7 KiB  conda  https://conda.anaconda.org/conda-forge/
packaging                                 25.0                  pyh29332c3_1                  61 KiB     conda  https://conda.anaconda.org/conda-forge/
pandas                                    2.3.0                 py313h668b085_0               13.4 MiB   conda  https://conda.anaconda.org/conda-forge/
pathspec                                  0.12.1                pyhd8ed1ab_1                  40.1 KiB   conda  https://conda.anaconda.org/conda-forge/
pillow                                    11.2.1                py313hb37fac4_0               40.9 MiB   conda  https://conda.anaconda.org/conda-forge/
platformdirs                              4.3.8                 pyhe01879c_0                  23 KiB     conda  https://conda.anaconda.org/conda-forge/
prometheus-async                          25.1.0                pyh29332c3_0                  24.8 KiB   conda  https://conda.anaconda.org/conda-forge/
prometheus-cpp                            1.3.0                 h0967b3e_0                    169.2 KiB  conda  https://conda.anaconda.org/conda-forge/
prometheus_client                         0.22.1                pyhd8ed1ab_0                  51.4 KiB   conda  https://conda.anaconda.org/conda-forge/
propcache                                 0.3.1                 py313ha9b7d5b_0               50.3 KiB   conda  https://conda.anaconda.org/conda-forge/
protobuf                                  5.29.3                py313hfa7305b_0               459 KiB    conda  https://conda.anaconda.org/conda-forge/
psutil                                    7.0.0                 py313h90d716c_0               472.8 KiB  conda  https://conda.anaconda.org/conda-forge/
pthread-stubs                             0.4                   hd74edd7_1002                 8.2 KiB    conda  https://conda.anaconda.org/conda-forge/
pyarrow                                   20.0.0                py313h39782a4_0               25.3 KiB   conda  https://conda.anaconda.org/conda-forge/
pyarrow-core                              20.0.0                py313hf9431ad_0_cpu           4.5 MiB    conda  https://conda.anaconda.org/conda-forge/
pybind11                                  2.13.6                pyhc790b64_3                  182.4 KiB  conda  https://conda.anaconda.org/conda-forge/
pybind11-global                           2.13.6                pyh217bc35_3                  175.9 KiB  conda  https://conda.anaconda.org/conda-forge/
pycparser                                 2.22                  pyh29332c3_1                  107.5 KiB  conda  https://conda.anaconda.org/conda-forge/
pydantic                                  2.11.7                pyh3cfb1c2_0                  300.1 KiB  conda  https://conda.anaconda.org/conda-forge/
pydantic-core                             2.33.2                py313hf3ab51e_0               1.6 MiB    conda  https://conda.anaconda.org/conda-forge/
pydantic-settings                         2.10.1                pyh3cfb1c2_0                  37.9 KiB   conda  https://conda.anaconda.org/conda-forge/
pygments                                  2.19.2                pyhd8ed1ab_0                  868.4 KiB  conda  https://conda.anaconda.org/conda-forge/
pyinstrument                              5.0.2                 py313h90d716c_0               181.6 KiB  conda  https://conda.anaconda.org/conda-forge/
pysocks                                   1.7.1                 pyha55dd90_7                  20.6 KiB   conda  https://conda.anaconda.org/conda-forge/
pysoundfile                               0.13.1                pyhd8ed1ab_0                  30.4 KiB   conda  https://conda.anaconda.org/conda-forge/
python                                    3.13.5                hf3f3da0_102_cp313            12.3 MiB   conda  https://conda.anaconda.org/conda-forge/
python-dateutil                           2.9.0.post0           pyhe01879c_2                  227.8 KiB  conda  https://conda.anaconda.org/conda-forge/
python-dotenv                             1.1.1                 pyhe01879c_0                  25.4 KiB   conda  https://conda.anaconda.org/conda-forge/
python-gil                                3.13.5                h4df99d1_102                  46.5 KiB   conda  https://conda.anaconda.org/conda-forge/
python-json-logger                        2.0.7                 pyhd8ed1ab_0                  13.1 KiB   conda  https://conda.anaconda.org/conda-forge/
python-multipart                          0.0.20                pyhff2d567_0                  27.3 KiB   conda  https://conda.anaconda.org/conda-forge/
python-tzdata                             2025.2                pyhd8ed1ab_0                  140.8 KiB  conda  https://conda.anaconda.org/conda-forge/
python-xxhash                             3.5.0                 py313h90d716c_2               21.4 KiB   conda  https://conda.anaconda.org/conda-forge/
python_abi                                3.13                  7_cp313                       6.8 KiB    conda  https://conda.anaconda.org/conda-forge/
pytorch                                   2.7.1                 cpu_generic_py313_h4b020fb_0  27.1 MiB   conda  https://conda.anaconda.org/conda-forge/
pytz                                      2025.2                pyhd8ed1ab_0                  184.6 KiB  conda  https://conda.anaconda.org/conda-forge/
pyyaml                                    6.0.2                 py313ha9b7d5b_2               189.7 KiB  conda  https://conda.anaconda.org/conda-forge/
pyzmq                                     27.0.0                py313he6960b1_0               355.4 KiB  conda  https://conda.anaconda.org/conda-forge/
re2                                       2025.06.26            h6589ca4_0                    26.8 KiB   conda  https://conda.anaconda.org/conda-forge/
readline                                  8.2                   h1d1bf99_2                    246.4 KiB  conda  https://conda.anaconda.org/conda-forge/
regex                                     2024.11.6             py313h90d716c_0               360.4 KiB  conda  https://conda.anaconda.org/conda-forge/
requests                                  2.32.4                pyhd8ed1ab_0                  58 KiB     conda  https://conda.anaconda.org/conda-forge/
rich                                      14.0.0                pyh29332c3_0                  195.6 KiB  conda  https://conda.anaconda.org/conda-forge/
rich-toolkit                              0.11.3                pyh29332c3_0                  17 KiB     conda  https://conda.anaconda.org/conda-forge/
safetensors                               0.5.3                 py313hdde674f_0               373.4 KiB  conda  https://conda.anaconda.org/conda-forge/
scipy                                     1.16.0                py313h9a24e0a_0               13.4 MiB   conda  https://conda.anaconda.org/conda-forge/
sentencepiece                             0.2.0                 h182aed9_11                   19.5 KiB   conda  https://conda.anaconda.org/conda-forge/
sentencepiece-python                      0.2.0                 py313hd2a7d4c_11              2.4 MiB    conda  https://conda.anaconda.org/conda-forge/
sentencepiece-spm                         0.2.0                 h98efcbe_11                   81.5 KiB   conda  https://conda.anaconda.org/conda-forge/
sentinel                                  1.0.0                 pyh29332c3_0                  13.5 KiB   conda  https://conda.anaconda.org/conda-forge/
setuptools                                80.9.0                pyhff2d567_0                  731.2 KiB  conda  https://conda.anaconda.org/conda-forge/
shellingham                               1.5.4                 pyhd8ed1ab_1                  14.1 KiB   conda  https://conda.anaconda.org/conda-forge/
six                                       1.17.0                pyhd8ed1ab_0                  16 KiB     conda  https://conda.anaconda.org/conda-forge/
sleef                                     3.8                   h8391f65_0                    571 KiB    conda  https://conda.anaconda.org/conda-forge/
snappy                                    1.2.1                 h98b9ce2_1                    35 KiB     conda  https://conda.anaconda.org/conda-forge/
sniffio                                   1.3.1                 pyhd8ed1ab_1                  14.7 KiB   conda  https://conda.anaconda.org/conda-forge/
sse-starlette                             2.1.3                 pyhd8ed1ab_0                  14.4 KiB   conda  https://conda.anaconda.org/conda-forge/
starlette                                 0.41.2                pyha770c72_0                  57.7 KiB   conda  https://conda.anaconda.org/conda-forge/
sympy                                     1.14.0                pyh2585a3b_105                4.4 MiB    conda  https://conda.anaconda.org/conda-forge/
taskgroup                                 0.2.2                 pyhd8ed1ab_0                  16.9 KiB   conda  https://conda.anaconda.org/conda-forge/
